activation,alpha,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
relu,0.0001,dominant,10.0,"(100,)",7.585874622804948,-6.5961558039625015,1,0.9897188188424461,0
relu,0.0001,dominant,10.0,"(100,)",7.182047162229226,-6.192420522635428,1,0.989626639593799,1
relu,0.0001,dominant,10.0,"(100,)",7.4072689473786255,-6.419404564602107,1,0.9878643827765183,2
relu,0.0001,dominant,10.0,"(100,)",6.476599803708111,-5.487581036732949,1,0.9890187669751621,3
relu,0.0001,dominant,10.0,"(100,)",7.173042621995853,-6.184519454461493,1,0.9885231675343595,4
relu,0.0001,dominant,10.0,"(100,)",4.738843573973777,-3.748041341848934,1,0.9908022321248434,5
relu,0.0001,dominant,10.0,"(100,)",3.3355798962477796,-2.3453869580725093,1,0.9901929381752704,6
relu,0.0001,dominant,10.0,"(100,)",7.363145671211239,-6.37430228974411,1,0.9888433814671295,7
relu,0.0001,dominant,10.0,"(100,)",7.772288933960809,-6.782064819011323,1,0.990224114949486,8
relu,0.0001,dominant,10.0,"(100,)",5.586571106463882,-4.597600270234178,1,0.9889708362297044,9
relu,0.0001,dominant,10.0,"(100,)",3.0634608879112806,-2.073314026044808,1,0.9901468618664728,10
relu,0.0001,dominant,10.0,"(100,)",5.3819410147278965,-4.395227383564489,1,0.986713631163408,11
relu,0.0001,dominant,10.0,"(100,)",5.627499670797683,-4.637115067875121,1,0.9903846029225625,12
relu,0.0001,dominant,10.0,"(100,)",5.607123935317748,-4.617445379582383,1,0.9896785557353645,13
relu,0.0001,dominant,10.0,"(100,)",6.042321265170723,-5.052630887585061,1,0.9896903775856619,14
relu,0.0001,dominant,10.0,"(100,)",6.410532921649113,-5.4197935097495025,1,0.9907394118996111,15
relu,0.0001,dominant,10.0,"(100,)",3.87941057033148,-2.890716193359499,1,0.9886943769719811,16
relu,0.0001,dominant,10.0,"(100,)",5.483395952960238,-4.4935582045968925,1,0.9898377483633453,17
relu,0.0001,dominant,10.0,"(100,)",4.731442802769367,-3.7401895239019893,1,0.9912532788673775,18
relu,0.0001,dominant,10.0,"(100,)",3.516104832103085,-2.526252725072897,1,0.9898521070301878,19
tanh,0.0001,dominant,10.0,"(100,)",49.26604269797087,-48.27641395928554,1,0.989628738685328,0
tanh,0.0001,dominant,10.0,"(100,)",49.06941111600049,-48.08051219846479,1,0.9888989175357017,1
tanh,0.0001,dominant,10.0,"(100,)",46.94464628845743,-45.95506068839699,1,0.9895856000604334,2
tanh,0.0001,dominant,10.0,"(100,)",46.964396058743645,-45.97390487833707,1,0.9904911804065728,3
tanh,0.0001,dominant,10.0,"(100,)",50.10003243798484,-49.10972403038056,1,0.9903084076042771,4
tanh,0.0001,dominant,10.0,"(100,)",52.47804227763498,-51.48887052258253,1,0.9891717550524451,5
tanh,0.0001,dominant,10.0,"(100,)",45.770785876621446,-44.77989231812992,1,0.99089355849153,6
tanh,0.0001,dominant,10.0,"(100,)",49.95352271675608,-48.96441881400385,1,0.989103902752235,7
tanh,0.0001,dominant,10.0,"(100,)",49.95968279986684,-48.9683001206172,1,0.9913826792496377,8
tanh,0.0001,dominant,10.0,"(100,)",45.64262877078509,-44.653396205692786,1,0.9892325650923021,9
tanh,0.0001,dominant,10.0,"(100,)",52.02626954728852,-51.03684966332546,1,0.9894198839630559,10
tanh,0.0001,dominant,10.0,"(100,)",37.70701107568637,-36.71585773572569,1,0.9911533399606753,11
tanh,0.0001,dominant,10.0,"(100,)",47.00502243796585,-46.01577239095975,1,0.9892500470061001,12
tanh,0.0001,dominant,10.0,"(100,)",47.849312009005494,-46.860480063238356,1,0.9888319457671405,13
tanh,0.0001,dominant,10.0,"(100,)",49.39614285664438,-48.40626246078784,1,0.9898803958565359,14
tanh,0.0001,dominant,10.0,"(100,)",48.817103908605276,-47.828130984609125,1,0.9889729239961493,15
tanh,0.0001,dominant,10.0,"(100,)",50.90616762884421,-49.9168367953402,1,0.9893308335040051,16
tanh,0.0001,dominant,10.0,"(100,)",51.63157453371776,-50.64216854072762,1,0.9894059929901404,17
tanh,0.0001,dominant,10.0,"(100,)",43.8109204637317,-42.82035355226771,1,0.9905669114639842,18
tanh,0.0001,dominant,10.0,"(100,)",44.55318187650291,-43.56326051328684,1,0.9899213632160674,19
identity,0.0001,dominant,10.0,"(100,)",-8.671501363688439e-05,0.9885873218878253,1,0.9885006068741884,0
identity,0.0001,dominant,10.0,"(100,)",0.005685663622378989,0.9842295789782438,1,0.9899152426006228,1
identity,0.0001,dominant,10.0,"(100,)",0.012455433777073588,0.9761436460894093,1,0.9885990798664829,2
identity,0.0001,dominant,10.0,"(100,)",-0.0005576008383407771,0.9876286482014766,1,0.9870710473631358,3
identity,0.0001,dominant,10.0,"(100,)",-8.709179890808993e-05,0.9902560662503718,1,0.9901689744514637,4
identity,0.0001,dominant,10.0,"(100,)",-2.5104457379576672e-05,0.9910847953510469,1,0.9910596908936673,5
identity,0.0001,dominant,10.0,"(100,)",4.591066064740801e-05,0.9896168553452732,1,0.9896627660059206,6
identity,0.0001,dominant,10.0,"(100,)",-0.00013429886869631424,0.9903927572483865,1,0.9902584583796902,7
identity,0.0001,dominant,10.0,"(100,)",0.00027834180262897856,0.9899401222349398,1,0.9902184640375687,8
identity,0.0001,dominant,10.0,"(100,)",0.00029997238477041943,0.9878316582752031,1,0.9881316306599736,9
identity,0.0001,dominant,10.0,"(100,)",-8.782076019731022e-06,0.9911186552089502,1,0.9911098731329304,10
identity,0.0001,dominant,10.0,"(100,)",0.0004229737946871426,0.9887992748729996,1,0.9892222486676867,11
identity,0.0001,dominant,10.0,"(100,)",7.595090296441676e-05,0.9909134307228737,1,0.9909893816258382,12
identity,0.0001,dominant,10.0,"(100,)",2.0541365378656806e-05,0.9907670343946531,1,0.9907875757600317,13
identity,0.0001,dominant,10.0,"(100,)",-1.0638377467508953e-05,0.9913863210506518,1,0.9913756826731843,14
identity,0.0001,dominant,10.0,"(100,)",-0.00019396453857600804,0.9892221412988468,1,0.9890281767602708,15
identity,0.0001,dominant,10.0,"(100,)",8.924164636092691e-05,0.9900917949734604,1,0.9901810366198214,16
identity,0.0001,dominant,10.0,"(100,)",2.4580239239346824e-05,0.9897501400724616,1,0.989774720311701,17
identity,0.0001,dominant,10.0,"(100,)",0.00028538385700571656,0.9894537059502999,1,0.9897390898073056,18
identity,0.0001,dominant,10.0,"(100,)",0.0013929711611949669,0.989325220892319,1,0.990718192053514,19
relu,0.0001,dominant,10.0,"(32, 16)",1.7190349997481427,-0.7300459402910333,1,0.9889890594571095,0
relu,0.0001,dominant,10.0,"(32, 16)",2.4347014766380966,-1.4454845883718481,1,0.9892168882662482,1
relu,0.0001,dominant,10.0,"(32, 16)",0.9330199266225864,0.05758162680346535,1,0.9906015534260517,2
relu,0.0001,dominant,10.0,"(32, 16)",6.557946317946375,-5.569774284200347,1,0.9881720337460288,3
relu,0.0001,dominant,10.0,"(32, 16)",2.692595194874124,-1.7049932763002356,1,0.987601918573888,4
relu,0.0001,dominant,10.0,"(32, 16)",3.6860124868320123,-2.6960433706769815,1,0.9899691161550309,5
relu,0.0001,dominant,10.0,"(32, 16)",4.390655838254277,-3.404010045505598,1,0.9866457927486796,6
relu,0.0001,dominant,10.0,"(32, 16)",4.125098838043149,-3.134851495250344,1,0.9902473427928054,7
relu,0.0001,dominant,10.0,"(32, 16)",1.5250013690194888,-0.5364320840201009,1,0.9885692849993879,8
relu,0.0001,dominant,10.0,"(32, 16)",1.9706509457038652,-0.9824041237407883,1,0.9882468219630769,9
relu,0.0001,dominant,10.0,"(32, 16)",1.5978718870588235,-0.6073266419618406,1,0.9905452450969829,10
relu,0.0001,dominant,10.0,"(32, 16)",3.2399951539675502,-2.2509196392278645,1,0.9890755147396857,11
relu,0.0001,dominant,10.0,"(32, 16)",0.7647735564699382,0.2266259260999286,1,0.9913994825698668,12
relu,0.0001,dominant,10.0,"(32, 16)",1.3580901026783585,-0.3681529199917637,1,0.9899371826865949,13
relu,0.0001,dominant,10.0,"(32, 16)",2.416159938603418,-1.426699741830575,1,0.9894601967728431,14
relu,0.0001,dominant,10.0,"(32, 16)",1.6026755962630244,-0.6117560669178117,1,0.9909195293452128,15
relu,0.0001,dominant,10.0,"(32, 16)",1.4683407340693253,-0.47774585352378685,1,0.9905948805455385,16
relu,0.0001,dominant,10.0,"(32, 16)",3.2512645323525686,-2.2633071646601515,1,0.9879573676924172,17
relu,0.0001,dominant,10.0,"(32, 16)",0.6869698443961637,0.3030864132365889,1,0.9900562576327526,18
relu,0.0001,dominant,10.0,"(32, 16)",5.332865398895347,-4.343284023846035,1,0.9895813750493117,19
tanh,0.0001,dominant,10.0,"(32, 16)",62.504395475199395,-61.51266451171892,1,0.991730963480477,0
tanh,0.0001,dominant,10.0,"(32, 16)",65.68081449014304,-64.6922838211287,1,0.9885306690143316,1
tanh,0.0001,dominant,10.0,"(32, 16)",63.262033898752534,-62.271858171442,1,0.9901757273105329,2
tanh,0.0001,dominant,10.0,"(32, 16)",67.99425480687727,-67.00596524950382,1,0.9882895573734465,3
tanh,0.0001,dominant,10.0,"(32, 16)",67.6039674565951,-66.61550368324939,1,0.9884637733457147,4
tanh,0.0001,dominant,10.0,"(32, 16)",68.81002039182007,-67.82057801876176,1,0.9894423730583135,5
tanh,0.0001,dominant,10.0,"(32, 16)",63.35416687049131,-62.36439715853353,1,0.9897697119577862,6
tanh,0.0001,dominant,10.0,"(32, 16)",76.54484249832858,-75.55654407479373,1,0.9882984235348388,7
tanh,0.0001,dominant,10.0,"(32, 16)",57.81348113846287,-56.82121369278324,1,0.9922674456796279,8
tanh,0.0001,dominant,10.0,"(32, 16)",68.18920756171279,-67.19984169235778,1,0.9893658693550184,9
tanh,0.0001,dominant,10.0,"(32, 16)",69.63435005465307,-68.64611763668191,1,0.9882324179711575,10
tanh,0.0001,dominant,10.0,"(32, 16)",55.52942431489798,-54.53759321695191,1,0.9918310979460656,11
tanh,0.0001,dominant,10.0,"(32, 16)",69.62331168643831,-68.63984306140456,1,0.9834686250337528,12
tanh,0.0001,dominant,10.0,"(32, 16)",69.39227197551143,-68.40292066565856,1,0.9893513098528842,13
tanh,0.0001,dominant,10.0,"(32, 16)",63.63238611295145,-62.64132914864452,1,0.9910569643069308,14
tanh,0.0001,dominant,10.0,"(32, 16)",68.36271042272539,-67.37257688504353,1,0.9901335376818546,15
tanh,0.0001,dominant,10.0,"(32, 16)",66.20740412723913,-65.21861875711132,1,0.9887853701278091,16
tanh,0.0001,dominant,10.0,"(32, 16)",64.87957098842274,-63.8907557152222,1,0.9888152732005411,17
tanh,0.0001,dominant,10.0,"(32, 16)",61.79012271323075,-60.7998815674482,1,0.9902411457825464,18
