activation,alpha,dgp,drift_target,drift_z,hidden,logreg_acc,logreg_auc,logreg_logloss,mlp_acc,mlp_auc,mlp_excess_acc,mlp_excess_auc,mlp_excess_logloss,mlp_logloss,n_classes,phase,seed
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.85,0.6091607843137254,0.41847588010458997,0.85,0.6050196078431372,0.0,0.004141176470588204,-0.002908556203028101,0.41556732390156187,2,1,0
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.852,0.586822738231189,0.4176840579275791,0.852,0.5440299454383961,0.0,0.04279279279279291,0.04221560173666333,0.45989965966424246,2,1,1
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.842,0.6246128867374245,0.430699577706023,0.842,0.5349228780179801,0.0,0.08969000871944444,0.059865625072438644,0.49056520277846166,2,1,2
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.852,0.5994797614515924,0.41304490468009697,0.852,0.5675992894302753,0.0,0.03188047202131716,0.008359404140909799,0.42140430882100677,2,1,3
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.85,0.5707921568627451,0.4203265087663558,0.85,0.5702901960784313,0.0,0.0005019607843137486,0.10424346736477152,0.5245699761311273,2,1,4
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.844,0.587404301859278,0.43251904116351036,0.844,0.5410438692429214,0.0,0.046360432616356695,0.02420610112014071,0.4567251422836511,2,1,5
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.834,0.5871543728872324,0.4434577686697391,0.834,0.5313050764207912,0.0,0.05584929646644121,0.039780232783170166,0.4832380014529093,2,1,6
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.832,0.6106627747252749,0.44380369246665363,0.832,0.5202896062271062,0.0,0.09037316849816868,0.01800750273266144,0.46181119519931507,2,1,7
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.814,0.5904203323558163,0.4940919066787591,0.814,0.6065889936857678,0.0,-0.01616866132995154,0.045990473359837025,0.5400823800385961,2,1,8
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.816,0.5355924978687127,0.47798420511987727,0.816,0.5186487638533674,0.0,0.016943734015345213,0.006409971743827347,0.4843941768637046,2,1,9
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.84,0.6089880952380953,0.4310821596106224,0.84,0.5894345238095238,0.0,0.019553571428571503,0.016457026722791868,0.4475391863334143,2,1,10
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.826,0.5829784865436531,0.4594894579678696,0.826,0.5722635050513485,0.0,0.010714981492304654,0.02820276464035021,0.4876922226082198,2,1,11
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.832,0.6105196886446886,0.4423326547776744,0.832,0.5799565018315018,0.0,0.030563186813186816,0.038074297554984815,0.48040695233265923,2,1,12
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.856,0.6200025960539979,0.40429747421696705,0.856,0.6345729491173416,0.0,-0.014570353063343755,0.01759239689556974,0.4218898711125368,2,1,13
relu,0.0001,linear_binary,dominant,5.0,"(100,)",0.854,0.6298482563921594,0.4080853202346237,0.854,0.6536845144525361,0.0,-0.023836258060376703,-0.007177521455647651,0.40090779877897603,2,1,14
tanh,0.0001,linear_binary,dominant,5.0,"(100,)",0.828,0.6117290192113246,0.44553555078730195,0.828,0.613077182339063,0.0,-0.0013481631277384443,0.0006376778820005313,0.4461732286693025,2,1,0
tanh,0.0001,linear_binary,dominant,5.0,"(100,)",0.802,0.6241970830499509,0.4839292502554063,0.802,0.5597118315322804,0.0,0.06448525151767048,0.03814518118096838,0.5220744314363747,2,1,1
tanh,0.0001,linear_binary,dominant,5.0,"(100,)",0.83,0.6084762579730687,0.4453581405639352,0.83,0.6212331679659816,0.0,-0.012756909992912902,0.03045926984597802,0.4758174104099132,2,1,2
tanh,0.0001,linear_binary,dominant,5.0,"(100,)",0.814,0.5457979974109006,0.48199068499811004,0.2,0.48038360941586744,0.6139999999999999,0.06541438799503319,0.356465875996395,0.838456560994505,2,1,3
