activation,alpha,dgp,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
relu,0.0001,linear,dominant,10.0,"(100,)",7.50149758699986,-6.512335105724516,1,0.9891624812753447,0
relu,0.0001,linear,dominant,10.0,"(100,)",7.589373478801379,-6.601833829198255,1,0.987539649603124,1
relu,0.0001,linear,dominant,10.0,"(100,)",6.019945553601077,-5.029497406431164,1,0.9904481471699128,2
relu,0.0001,linear,dominant,10.0,"(100,)",5.704819851754801,-4.71681611661612,1,0.9880037351386817,3
relu,0.0001,linear,dominant,10.0,"(100,)",9.388457932536975,-8.399983988441836,1,0.9884739440951384,4
relu,0.0001,linear,dominant,10.0,"(100,)",8.899958018399357,-7.911989785874937,1,0.9879682325244197,5
relu,0.0001,linear,dominant,10.0,"(100,)",4.694131487958816,-3.706193180919948,1,0.987938307038868,6
relu,0.0001,linear,dominant,10.0,"(100,)",5.729419726918374,-4.739531394531546,1,0.9898883323868286,7
relu,0.0001,linear,dominant,10.0,"(100,)",4.125394850649249,-3.1391589252053222,1,0.9862359254439261,8
relu,0.0001,linear,dominant,10.0,"(100,)",8.047939669162085,-7.058428628482087,1,0.9895110406799982,9
relu,0.0001,linear,dominant,10.0,"(100,)",4.292307123894043,-3.3028673963820268,1,0.9894397275120155,10
relu,0.0001,linear,dominant,10.0,"(100,)",8.412330587373754,-7.421635388265365,1,0.9906951991083885,11
relu,0.0001,linear,dominant,10.0,"(100,)",8.438009023329707,-7.446494100183594,1,0.9915149231461129,12
relu,0.0001,linear,dominant,10.0,"(100,)",7.103458372166322,-6.114057425800829,1,0.9894009463654928,13
relu,0.0001,linear,dominant,10.0,"(100,)",7.841547120206946,-6.850998541189369,1,0.9905485790175778,14
tanh,0.0001,linear,dominant,10.0,"(100,)",51.600774153284036,-50.61072630859045,1,0.9900478446935873,0
tanh,0.0001,linear,dominant,10.0,"(100,)",48.8595720810913,-47.870047308628614,1,0.9895247724626888,1
tanh,0.0001,linear,dominant,10.0,"(100,)",42.94686810313624,-41.956201960669674,1,0.9906661424665671,2
tanh,0.0001,linear,dominant,10.0,"(100,)",43.389212284881765,-42.40109628887966,1,0.9881159960021092,3
tanh,0.0001,linear,dominant,10.0,"(100,)",48.524217554914905,-47.53528950793335,1,0.9889280469815566,4
tanh,0.0001,linear,dominant,10.0,"(100,)",42.984908592624386,-41.99382340951381,1,0.9910851831105754,5
tanh,0.0001,linear,dominant,10.0,"(100,)",53.015601689159524,-52.02688105197958,1,0.9887206371799476,6
tanh,0.0001,linear,dominant,10.0,"(100,)",40.1462515839412,-39.15516527815657,1,0.9910863057846305,7
tanh,0.0001,linear,dominant,10.0,"(100,)",43.4421386705844,-42.455834030222974,1,0.9863046403614232,8
tanh,0.0001,linear,dominant,10.0,"(100,)",49.749636505909955,-48.76004508925807,1,0.9895914166518833,9
