activation,alpha,dgp,drift_target,drift_z,hidden,mlp_excess_harm,mlp_excess_mae,mlp_excess_mae_norm,mlp_excess_rmse,mlp_excess_rmse_norm,mlp_test_mae,mlp_test_r2,mlp_test_rmse,phase,ridge_test_mae,ridge_test_r2,ridge_test_rmse,seed,y_test_std
relu,0.0001,linear,dominant,10.0,"(100,)",5.065626039143588,20.952452533645346,2.1528903346634722,20.926567291373324,2.1502305941004822,21.746879900350024,-4.0761961272910625,21.927148314771813,1,0.7944273667046771,0.9894299118525252,1.0005810233984906,0,9.732243299294906
relu,0.0001,linear,dominant,10.0,"(100,)",5.542407408441613,23.893444248034115,2.256213678439841,23.925487317238392,2.259239446105959,24.714825081223626,-4.551814351163668,24.952611087346632,1,0.8213808331895126,0.990593057277945,1.0271237701082414,1,10.590062668424338
relu,0.0001,linear,dominant,10.0,"(100,)",6.268572570255923,24.79249498220128,2.4064110418120954,24.81735963954923,2.4088244570829644,25.583984160111587,-5.277934328612027,25.814208084772368,1,0.7914891779103057,0.9906382416438962,0.996848445223138,2,10.302685015745203
relu,0.0001,linear,dominant,10.0,"(100,)",6.083676453817652,23.451314048417224,2.3601271779758175,23.4311750688289,2.3581004022921617,24.324196335871616,-5.09597584121818,24.533154572782056,1,0.8728822874543917,0.9877006125994725,1.1019795039531564,3,9.936462012411736
relu,0.0001,linear,dominant,10.0,"(100,)",5.067990988936828,22.12295976836731,2.1560042993249415,22.12325623177184,2.1560331913168564,22.91423670644554,-4.077455923694486,23.1215363444158,1,0.7912769380782292,0.9905350652423422,0.9982801126439607,4,10.261092603244876
relu,0.0001,linear,dominant,10.0,"(100,)",6.027008104829161,24.201501175717404,2.351802224665949,24.215563121923378,2.3531687066924247,25.06319266869454,-5.037830560652304,25.286106869437713,1,0.861691492977137,0.9891775441768573,1.0705437475143356,5,10.290619220395964
relu,0.0001,linear,dominant,10.0,"(100,)",4.828115357481636,21.315343204341527,2.100446924015456,21.333494485540616,2.1022355793702427,22.12167779705108,-3.8375653397250566,22.319992269727162,1,0.8063345927095552,0.9905500177565788,0.9864977841865478,6,10.148003722747093
relu,0.0001,linear,dominant,10.0,"(100,)",5.608745088858478,22.774075696034767,2.268425134473637,22.74969917766534,2.265997097099115,23.597116660400836,-4.619684201823614,23.79974285133616,1,0.8230409643660672,0.9890608870348634,1.050043673670817,7,10.039597670618846
relu,0.0001,linear,dominant,10.0,"(100,)",4.587473504848454,21.229627747961135,2.0522221755347623,21.248165213139323,2.0540141521802564,21.967467246813523,-3.59551999787145,22.176108261198156,1,0.7378394988523893,0.9919535069770042,0.9279430480588307,8,10.344702440625943
relu,0.0001,linear,dominant,10.0,"(100,)",5.693338957914497,22.23855960299774,2.281846566442015,22.21185608827533,2.2791065812780005,23.090961949856997,-4.705323818229609,23.278787997820665,1,0.8524023468592569,0.9880151396848879,1.066931909545337,9,9.745861062724023
relu,0.0001,linear,dominant,10.0,"(100,)",4.071999174557652,19.574429261361814,1.9187608410280736,19.556997605143124,1.9170521230419657,20.416488401536345,-3.082715773426365,20.61307743709362,1,0.8420591401745298,0.9892834011312868,1.056079831950496,10,10.201599304514584
relu,0.0001,linear,dominant,10.0,"(100,)",5.300187471213976,22.363124483925127,2.2013886957762234,22.349473427228684,2.2000449085107836,23.207435227006506,-4.311116295800382,23.411468439230198,1,0.8443107430813807,0.9890711754135939,1.0619950120015138,11,10.158644189839336
relu,0.0001,linear,dominant,10.0,"(100,)",6.2237925559961464,23.047130802358872,2.3937919658520577,23.046251605988658,2.393700648055258,23.85091822767379,-5.23443977612204,24.039707471102627,1,0.8037874253149201,0.9893527798741071,0.9934558651139682,12,9.627875409029276
relu,0.0001,linear,dominant,10.0,"(100,)",3.6662391887685306,17.743065211369334,1.8171876181859772,17.693696962110426,1.812131481029511,18.558152410470328,-2.6773728705460775,18.723960385776422,1,0.8150871991009946,0.9888663182224531,1.0302634236659953,13,9.76402493270425
relu,0.0001,linear,dominant,10.0,"(100,)",5.42335978796629,22.939270957171573,2.2331976656768884,22.955888260253424,2.234815403333919,23.726862138017623,-4.432570433930741,23.94170795611696,1,0.7875911808460505,0.9907893540355488,0.985819695863535,14,10.271939340496585
